Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,y_first,y_last,y_mean
288,2022-10-23 00:04:00,424041.0666666668,421158.5438662003,2882.5228004665114,-928.4348016285768,3810.957602095088,20221023,0,0,419299.56,419299.56,419299.56
289,2022-10-23 00:09:00,413752.5433333334,412701.9047736215,1050.6385597119224,-1534.5523387670628,2585.190898478985,20221023,1,0,410192.6,410343.5,410268.06
290,2022-10-23 00:14:00,398109.6466666669,404237.8811547605,-6128.234488093585,-5344.368725500949,-783.8657625926362,20221023,2,0,399325.0,399807.22,399404.62
291,2022-10-23 00:19:00,381347.7833333333,395773.1719169128,-14425.38858357945,-10999.577916421787,-3425.8106671576625,20221023,3,0,386427.12,383927.5,385967.84
292,2022-10-23 00:24:00,373215.7866666667,387314.5828666135,-14098.79619994678,-16351.734600417723,2252.9384004709427,20221023,4,0,374224.38,368395.78,372965.2
293,2022-10-23 00:29:00,358163.8866666666,378869.052795132,-20705.16612846544,-19904.92376886825,-800.242359597185,20221023,5,0,361939.94,358255.0,360635.53
294,2022-10-23 00:34:00,350945.8433333333,370443.6782305795,-19497.834897246157,-21135.39645487746,1637.5615576313066,20221023,6,0,351560.56,346596.28,349606.3
295,2022-10-23 00:39:00,338947.19,362045.7365050343,-23098.54650503426,-20314.589981902613,-2783.9565231316483,20221023,7,0,338708.8,335578.28,336898.03
296,2022-10-23 00:44:00,334448.9633333333,353682.70688684226,-19233.743553508943,-18463.24774831104,-770.4958051979083,20221023,8,0,329860.53,328180.47,327698.66
297,2022-10-23 00:49:00,333235.66666666686,345362.2893650377,-12126.622698370831,-16906.923978465442,4780.301280094609,20221023,9,0,317596.06,316713.2,315574.4
298,2022-10-23 00:54:00,320441.44000000006,337092.4208888636,-16650.98088886356,-16202.282909665722,-448.6979791978374,20221023,10,0,306662.12,310393.38,305443.6
299,2022-10-23 00:59:00,309276.10000000003,328881.288698578,-19605.188698577986,-15691.336580706264,-3913.852117871722,20221023,11,0,297875.78,303131.4,297481.0
300,2022-10-23 01:04:00,307032.90333333326,320737.34068279364,-13704.43734946038,-14521.839305761669,817.4019563012898,20221023,12,0,296725.0,302654.34,296305.94
301,2022-10-23 01:09:00,301178.73666666675,312669.29232965223,-11490.555662985484,-12771.427714355634,1280.87205137015,20221023,13,0,286084.03,291446.3,285084.84
302,2022-10-23 01:14:00,293917.8933333333,304686.1302268129,-10768.236893479596,-11212.283305966665,444.0464124870687,20221023,14,0,274115.53,286294.75,277962.53
303,2022-10-23 01:19:00,285787.37333333323,296797.1119706927,-11009.738637359464,-10370.863711387885,-638.8749259715805,20221023,15,0,261634.14,281107.1,272079.94
304,2022-10-23 01:24:00,278775.6733333333,289011.76227000466,-10236.088936671382,-10207.851313101672,-28.237623569708376,20221023,16,0,257088.25,273419.7,266150.4
305,2022-10-23 01:29:00,270312.39333333325,281339.86524386285,-11027.471910529595,-10494.357595052868,-533.1143154767269,20221023,17,0,251000.6,264083.94,259134.58
306,2022-10-23 01:34:00,262724.2166666667,273791.4527985002,-11067.236131833515,-11145.222609598051,77.98647776453436,20221023,18,0,247729.2,257697.08,253853.89
